date,ticker,price,chg_1d_pct,chg_1w_pct,chg_1m_pct
2026-07-07,2890.TW,41.099998474121094,0.24,3.01,28.84
2026-07-07,00679B.TWO,27.030000686645508,-0.48,-1.49,2.19
2026-07-07,00772B.TWO,34.060001373291016,-0.38,-0.9,1.82
2026-07-06,ALZ02.FUND,613.41,-1.02,1.58,
2026-07-06,SHZB0.FUND,76.6,-2.16,0.16,
